FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018093,11.2 Merchantville Market Off Centre,,https://www.facebook.com/merchantvillemarketoffcentre/,,,https://www.instagram.com/marketoffcentre/,N. Centre St. & Chestnut Ave.,Merchantville,Camden,New Jersey,08109,06/02/2018 to 10/27/2018,Sat: 10:00 AM-2:00 PM;,,,,,,,-75.0490757,39.9524734,,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,7/26/2018 4:18:10 PM
1019437,11.7 Swarthmore Farmers Market,http://www.swarthmorefarmersmarket.org/,https://www.facebook.com/swarthmorefarmersmarket/,https://twitter.com/SwatFarmersMkt,https://www.youtube.com/channel/UCafY0ksL3UOuX5qWTNCwptw/featured,https://www.instagram.com/swarthmorefarmersmarket/,121 Park Avenue,Swarthmore,Delaware,Pennsylvania,19081,05/11/2019 to 12/07/2019,Sat: 9:30 AM-1:30 PM;,,,,,,,-75.349110,39.901799,,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,3/22/2019 10:06:50 PM
1019756,13.6 Lansdale Farmers' Market,https://www.lansdalefarmersmarket.org/,https://www.facebook.com/LansdaleFarmersMarket/,,,https://www.instagram.com/lansdalefarmersmarket/,400 Penn Street,Lansdale,Montgomery,Pennsylvania,19446,05/16/2020 to 11/21/2020,Sat: 9:00 AM-1:00 PM;,,,,,,,-75.277496,40.234201,,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,2/10/2020 1:33:35 PM
1018508,24.6 Yardley Farmers Market,http://yardleyfarmersmarket.com/,https://www.facebook.com/YardleyFarmersMarket/,https://twitter.com/yardleyfarmmart,https://www.youtube.com/channel/UCPyEWf4FdNUFUWiVQfiJdIA,https://www.instagram.com/yardleyfarmersmarket/,Buttonwood Park,Yardley borough,Bucks,Pennsylvania,19067,05/01/2017 to 10/07/2017,Sat: 9:00 AM-1:00 PM;,05/01/2018 to 10/20/2018,Sat: 9:00 AM-1:00 PM;,,,,,-74.839868,40.240633,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,12/28/2018 7:38:03 AM
1019708,24.6 Yardlet Farmers Market - Indoor Winter Market,http://www.yardleyfarmersmarket.com,https://www.facebook.com/YardleyFarmersMarket/,https://twitter.com/yardleyfarmmart,https://www.youtube.com/watch?v=rnt3Tcv_49A,https://www.instagram.com/yardleyfarmersmarket/,65 N. Main St.,Yardley borough,Bucks,Pennsylvania,19067,10/19/2019 to 04/18/2020,Sun: 9:00 AM-12:00 PM;,,,,,,,-74.841627,40.243417,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,10/16/2019 11:19:52 AM
1016867,25.5 Downingtown Farmers Market,http://growingrootspartners.com,https://www.facebook.com/DowningtownFarmersMarket/,,,Instagram:  downingtownfm,1 Park Lane,Downingtown,Chester,Pennsylvania,19335,05/01/2018 to 12/01/2018,Sat: 9:00 AM-1:00 PM;,01/01/2019 to 04/01/2019,Sat: 10:00 AM-12:00 PM;,,,,,-75.705606,40.007243,,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,7/26/2018 4:29:48 PM
1012466,28.1 Fresh2You Mobile Market,http://chestercountyfoodbank.org/programs/fresh2you/,@fresh2youmarket,@fresh2youmarket,https://www.youtube.com/watch?v=Mlagghq7cgA,,,"Phoenixville, Pottstown, Coatesville, Parkesburg, West Chester, Kennett Square and Oxford",Chester,Pennsylvania,,06/12/2018 to 11/17/2018,Tue: 10:00 AM-5:00 PM;Wed: 11:00 AM-5:00 PM;Thu: 9:00 AM-3:00 PM;Fri: 10:00 AM-12:00 PM;Sat: 10:00 AM-1:00 PM;,,,,,,,-75.748454,39.9731925,,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,7/26/2018 5:07:55 PM
1021244,28.9 KSQ Farmers Market,http://ksqfarmersmarket.com,facebook.com/ksqfarmersmarket,,,Instagram: ksqfarmersmarket,401 Birch St,Kennett Square,Chester,Pennsylvania,19348,11/20/2020 to 12/18/2020,Fri: 3:00 PM-5:00 PM;,,,,,,,-75.705331,39.842787,,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,11/19/2020 12:18:50 AM
1019854,31.1 Pennington Farmers Market,http://penningtonfarmersmarket.org,@PenningtonFarmersMkt,,,,101 Route 31 N,Pennington,Mercer,New Jersey,08534,06/06/2020 to 11/21/2020,Sat: 9:00 AM-1:00 PM;,,,,,,,-74.795475,40.349130,,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,N,5/1/2020 4:19:10 PM
1002657,36.9 Emmaus Farmers' Market,http://www.emmausmarket.com,https://www.facebook.com/EmmausFarmersMarket/,https://www.twitter.com/EmmausFarmMkt/,https://www.youtube.com/channel/UCX8tZUatO9ZyXRhoNJMiavg,https://www.instagram.com/emmausfarmmkt,235 Main St,Emmaus,Lehigh,Pennsylvania,18049,05/06/2018 to 11/25/2018,Sun: 10:00 AM-2:00 PM;,12/02/2018 to 12/30/2018,Sun: 10:00 AM-12:00 PM;,01/13/2019 to 04/28/2019,Sun: 10:00 AM-12:00 PM;,,,-75.4903,40.5366,,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,7/26/2018 5:30:51 PM
